Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
MSER;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;711.21;146.41;609.00;0.66;0.66;true;345.35;75.41;290.55;708.25;145.90;606.94;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;15.00;6.00;17.00;146.00;6.00;145.00;327.84;71.00;279.48;binary;;binary;28.96;8.36;22.96;0.08;0.08;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
MSER;;BRIEF;;Flann;;336x252;;336x252;305x229;;305x229;263.12;144.93;264.12;0.00;0.00;false;80.07;19.00;70.78;261.44;145.08;262.12;50.00;0.00;50.00;60.00;0.00;60.00;60.00;0.00;60.00;60.00;0.00;60.00;16.50;5.50;15.00;43.50;5.50;45.00;180.17;141.94;247.05;binary;;binary;13.67;6.18;12.75;0.12;0.09;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
MSER;;BRISK;;Flann;;336x252;;336x252;305x229;;305x229;256.15;139.10;231.81;0.00;0.00;false;67.99;13.98;63.87;251.87;138.56;229.13;51.00;0.00;51.00;55.00;0.00;55.00;55.00;0.00;55.00;55.00;0.00;55.00;15.50;4.50;14.00;39.50;4.50;41.00;172.02;129.28;212.07;binary;;binary;10.04;5.01;5.73;0.14;0.11;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
MSER;;FREAK;;Flann;;336x252;;336x252;305x229;;305x229;101.64;30.07;79.06;0.00;0.00;false;70.21;12.49;62.70;100.13;30.03;77.88;26.00;0.00;26.00;38.00;0.00;38.00;38.00;0.00;38.00;38.00;0.00;38.00;21.50;8.50;22.00;16.50;8.50;16.00;30.77;28.62;4.44;binary;;binary;10.83;5.07;6.2;0.06;0.03;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
MSER;;ORB;;Flann;;336x252;;336x252;305x229;;305x229;314.76;166.14;288.21;0.00;0.00;false;93.25;15.62;83.71;313.12;166.01;286.41;47.00;0.00;47.00;60.00;0.00;60.00;60.00;0.00;60.00;60.00;0.00;60.00;15.50;4.50;15.00;44.50;4.50;45.00;211.37;159.39;229.24;binary;;binary;15.55;7.98;12.19;0.10;0.07;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
MSER;;SIFT;;Flann;;336x252;;336x252;305x229;;305x229;876.04;155.89;742.55;0.00;0.00;false;862.73;154.75;732.33;873.79;156.45;741.05;72.00;0.00;72.00;65.00;0.00;65.00;0.50;0.50;0.00;0.50;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;float;;float;12.22;5.83;6.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
MSER;;SURF;;Flann;;336x252;;336x252;305x229;;305x229;381.52;40.55;367.73;0.00;0.00;false;368.19;41.36;355.13;379.68;40.51;364.74;72.00;0.00;72.00;65.00;0.00;65.00;7.50;1.50;8.00;7.50;1.50;8.00;5.50;0.50;6.00;2.00;1.00;2.00;4.65;2.83;2.17;float;;float;9.48;2.94;6.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
