Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
MSER;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;671.14;139.19;576.47;1.00;1.00;true;355.08;81.00;288.85;669.13;139.02;574.64;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;325.77;74.60;281.04;binary;;binary;9.62;5.41;5.86;1.24;1.21;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
MSER;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;364.00;47.06;338.04;0.00;0.00;false;80.93;17.21;71.12;361.81;46.69;336.11;50.00;0.00;50.00;60.00;0.00;60.00;60.00;0.00;60.00;60.00;0.00;60.00;13.00;0.00;13.00;47.00;0.00;47.00;289.59;40.14;263.69;binary;;binary;3.19;2.75;0.56;0.45;0.42;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
MSER;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;347.81;73.14;290.64;0.00;0.00;false;88.49;34.58;62.59;344.58;74.85;288.74;51.00;0.00;51.00;55.00;0.00;55.00;55.00;0.00;55.00;55.00;0.00;55.00;13.00;0.00;13.00;42.00;0.00;42.00;258.38;47.40;225.02;binary;;binary;3.35;2.73;0.77;0.33;0.30;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
MSER;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;140.55;35.27;121.63;0.00;0.00;false;74.70;18.82;65.52;138.74;35.28;118.87;26.00;0.00;26.00;38.00;0.00;38.00;38.00;0.00;38.00;38.00;0.00;38.00;13.00;0.00;13.00;25.00;0.00;25.00;71.15;26.16;51.20;binary;;binary;2.41;2.10;0.51;0.27;0.24;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
MSER;;ORB;;BF;;336x252;;336x252;305x229;;305x229;428.56;95.09;360.32;0.00;0.00;false;107.27;30.09;83.96;426.59;94.63;357.47;47.00;0.00;47.00;60.00;0.00;60.00;60.00;0.00;60.00;60.00;0.00;60.00;11.00;0.00;11.00;49.00;0.00;49.00;331.04;77.41;270.75;binary;;binary;3.04;2.61;0.59;0.86;0.83;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
MSER;;SIFT;;BF;;336x252;;336x252;305x229;;305x229;819.13;106.41;731.74;0.00;0.00;false;811.32;107.41;726.19;817.53;106.44;730.06;72.00;0.00;72.00;65.00;0.00;65.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;float;;float;8.93;5.98;3.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
MSER;;SURF;;BF;;336x252;;336x252;305x229;;305x229;381.81;46.95;363.61;0.00;0.00;false;370.66;45.16;352.16;379.70;47.38;360.43;72.00;0.00;72.00;65.00;0.00;65.00;8.00;0.00;8.00;8.00;0.00;8.00;6.00;0.00;6.00;2.00;0.00;2.00;5.61;3.44;3.55;float;;float;6.81;3.71;3.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
