Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
SIFT;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;671.64;80.49;651.60;1.00;1.00;true;471.81;67.96;447.10;670.04;80.64;650.12;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;234.01;62.55;186.17;binary;;binary;7.02;4.02;3.98;0.11;0.08;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;511.38;54.31;500.68;0.00;0.00;false;295.72;41.68;268.10;509.83;54.02;498.69;327.00;0.00;327.00;341.00;0.00;341.00;341.00;0.00;341.00;341.00;0.00;341.00;34.00;0.00;34.00;307.00;0.00;307.00;224.79;37.97;199.39;binary;;binary;10.87;3.64;7.25;0.11;0.08;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;833.97;122.97;877.32;0.00;0.00;false;464.41;101.52;450.40;831.67;123.26;875.18;370.00;0.00;370.00;375.00;0.00;375.00;375.00;0.00;375.00;375.00;0.00;375.00;16.00;0.00;16.00;359.00;0.00;359.00;387.49;89.82;362.54;binary;;binary;55.19;28.62;32.55;1.46;1.42;0.05;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;701.31;250.42;729.22;0.00;0.00;false;401.32;144.13;414.90;699.21;249.72;726.8;150.00;0.00;150.00;198.00;0.00;198.00;198.00;0.00;198.00;198.00;0.00;198.00;28.00;0.00;28.00;170.00;0.00;170.00;314.57;129.39;303.11;binary;;binary;13.93;9.98;6.16;0.12;0.08;0.05;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;ORB;;BF;;336x252;;336x252;305x229;;305x229;2.91;1.75;1.30;0.00;0.00;false;0.10;0.06;0.05;0.34;0.21;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;SIFT;;BF;;336x252;;336x252;305x229;;305x229;831.11;145.47;755.89;1.00;1.00;true;740.66;141.35;666.44;829.76;145.35;754.60;400.00;0.00;400.00;400.00;0.00;400.00;47.00;0.00;47.00;47.00;0.00;47.00;28.00;0.00;28.00;19.00;0.00;19.00;13.28;8.89;4.99;float;;float;105.46;37.63;76.20;0.10;0.08;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SIFT;;SURF;;BF;;336x252;;336x252;305x229;;305x229;980.61;76.84;933.75;0.00;0.00;false;875.45;75.01;854.72;979;76.75;932.12;400.00;0.00;400.00;400.00;0.00;400.00;25.00;0.00;25.00;25.00;0.00;25.00;9.00;0.00;9.00;16.00;0.00;16.00;39.45;15.53;26.34;float;;float;87.94;17.93;73.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
