Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
DENSE;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;364.27;26.10;360.24;0.74;0.74;true;167.46;16.23;158.25;363.09;26.15;359.02;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;15.00;6.00;16.00;146.00;6.00;145.00;187.57;19.67;181.95;binary;;binary;19.76;6.53;17.45;0.41;0.41;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;BRIEF;;Flann;;336x252;;336x252;305x229;;305x229;906.16;144.9;803.12;0.00;0.00;false;31.45;9.07;28.53;904.31;144.79;801.25;1218.00;0.00;1218.00;1551.00;0.00;1551.00;1551.00;0.00;1551.00;1551.00;0.00;1551.00;47.00;4.00;47.00;1504.00;4.00;1504.00;560.47;109.92;475.14;binary;;binary;319.37;48.45;294.12;0.38;0.35;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;BRISK;;Flann;;336x252;;336x252;305x229;;305x229;640.44;26.78;630.47;0.00;0.00;false;28.10;4.76;28.80;639.03;26.84;628.44;1518.00;0.00;1518.00;1887.00;0.00;1887.00;1887.00;0.00;1887.00;1887.00;0.00;1887.00;26.00;6.00;26.00;1861.00;6.00;1861.00;353.11;22.02;346.62;binary;;binary;257.51;16.80;253.06;0.07;0.04;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;FREAK;;Flann;;336x252;;336x252;305x229;;305x229;310.06;17.43;309.75;0.00;0.00;false;8.53;3.27;5.71;307.55;17.83;306.64;448.00;0.00;448.00;627.00;0.00;627.00;627.00;0.00;627.00;627.00;0.00;627.00;28.50;4.50;29.00;598.50;4.50;598.00;229.67;11.59;230.25;binary;;binary;67.55;7.74;68.00;0.65;0.62;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;ORB;;Flann;;336x252;;336x252;305x229;;305x229;1135.2;166.5;1063.80;0.00;0.00;false;341.28;56.35;315.89;1133.61;166.42;1062.24;1080.00;0.00;1080.00;1395.00;0.00;1395.00;1395.00;0.00;1395.00;1395.00;0.00;1395.00;30.00;2.00;31.00;1365.00;2.00;1364.00;505.65;104.20;445.47;binary;;binary;318.71;51.07;292.56;0.99;0.96;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;SIFT;;Flann;;336x252;;336x252;305x229;;305x229;1186.43;261.35;1371.97;0.00;0.00;false;262.63;60.22;286.94;1182.00;258.67;1366.01;1989.00;0.00;1989.00;2352.00;0.00;2352.00;289.00;18.00;285.00;289.00;18.00;285.00;31.00;3.00;30.00;258.00;18.00;255.00;449.30;91.05;498.99;float;;float;496.89;134.64;565.75;1.40;1.36;0.05;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;SURF;;Flann;;336x252;;336x252;305x229;;305x229;3835.27;493.24;3914.49;0.00;0.00;false;3409.01;345.78;3509.55;3832.11;492.41;3908.99;1989.00;0.00;1989.00;2352.00;0.00;2352.00;1750.50;4.50;1751.00;1750.50;4.50;1751.00;429.00;123.00;519.00;1320.50;122.50;1232.00;267.52;182.20;164.14;float;;float;228.79;54.89;233.38;0.29;0.26;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
