Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
GFTT;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;443.20;97.77;367.88;1.00;1.00;true;211.72;45.90;175.72;441.43;97.87;366.53;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;226.10;54.82;183.65;binary;;binary;9.10;6.09;4.08;0.08;0.06;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
GFTT;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;542.79;103.88;501.55;0.00;0.00;false;51.33;21.79;37.18;540.81;103.76;499.38;581.00;0.00;581.00;887.00;0.00;887.00;887.00;0.00;887.00;887.00;0.00;887.00;59.00;0.00;59.00;828.00;0.00;828.00;439.70;97.02;396.51;binary;;binary;67.37;17.73;59.55;0.22;0.19;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
GFTT;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;356.25;20.47;347.34;0.00;0.00;false;23.96;4.94;21.21;354.38;21.23;346.02;629.00;0.00;629.00;957.00;0.00;957.00;957.00;0.00;957.00;957.00;0.00;957.00;22.00;0.00;22.00;935.00;0.00;935.00;258.63;17.99;248.71;binary;;binary;77.52;7.39;73.99;0.08;0.05;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
GFTT;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;264.13;22.07;261.88;0.00;0.00;false;22.59;6.06;20;262.87;22.02;260.20;337.00;0.00;337.00;541.00;0.00;541.00;541.00;0.00;541.00;541.00;0.00;541.00;44.00;0.00;44.00;497.00;0.00;497.00;216.33;14.41;215.26;binary;;binary;27.73;6.89;23.92;1.26;1.23;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
GFTT;;ORB;;BF;;336x252;;336x252;305x229;;305x229;707.04;136.35;634.04;0.00;0.00;false;210.86;42.71;191.01;704.39;136.99;630.36;568.00;0.00;568.00;871.00;0.00;871.00;871.00;0.00;871.00;871.00;0.00;871.00;44.00;0.00;44.00;827.00;0.00;827.00;439.50;97.93;377.15;binary;;binary;68.56;21.76;57.28;1.19;1.16;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
GFTT;;SIFT;;BF;;336x252;;336x252;305x229;;305x229;738.23;28.40;728.58;0.00;0.00;false;271.58;13.72;269.41;736.12;28.66;726.39;705.00;0.00;705.00;996.00;0.00;996.00;2.00;0.00;2.00;2.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;float;;float;461.14;22.27;454.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
GFTT;;SURF;;BF;;336x252;;336x252;305x229;;305x229;1774.45;354.55;1544.55;0.00;0.00;false;1144.82;208.89;1064.15;1772.27;354.46;1541.88;705.00;0.00;705.00;996.00;0.00;996.00;57.00;0.00;57.00;57.00;0.00;57.00;6.00;0.00;6.00;51.00;0.00;51.00;238.11;74.58;193.34;float;;float;385.20;74.40;331.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
