Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
FAST;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;369.69;37.02;349.84;1.00;1.00;true;178.73;27.21;158.26;368.11;37.04;346.83;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;189.83;18.03;182.40;binary;;binary;7.19;4.19;4.22;0.11;0.08;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;469.89;74.76;432.79;0.00;0.00;false;17.39;6.96;15.64;468.12;74.52;429.88;490.00;0.00;490.00;799.00;0.00;799.00;799.00;0.00;799.00;799.00;0.00;799.00;57.00;0.00;57.00;742.00;0.00;742.00;408.95;72.12;372.22;binary;;binary;52.89;14.99;44.95;0.41;0.38;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;337.51;26.64;325.56;0.00;0.00;false;11.32;3.63;13.25;336.29;26.64;323.86;528.00;0.00;528.00;865.00;0.00;865.00;865.00;0.00;865.00;865.00;0.00;865.00;18.00;0.00;18.00;847.00;0.00;847.00;268.40;27.39;251.71;binary;;binary;66.58;11.84;59.28;0.15;0.12;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;258.77;25.04;252.19;0.00;0.00;false;7.18;3.29;4.41;255.78;25.42;250.56;282.00;0.00;282.00;487.00;0.00;487.00;487.00;0.00;487.00;487.00;0.00;487.00;50.00;0.00;50.00;437.00;0.00;437.00;230.98;22.45;223.19;binary;;binary;21.03;4.83;21.13;0.17;0.14;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;ORB;;BF;;336x252;;336x252;305x229;;305x229;508.74;167.37;382.06;0.00;0.00;false;145.74;58.32;92.19;507.03;167.00;379.41;481.00;0.00;481.00;779.00;0.00;779.00;779.00;0.00;779.00;779.00;0.00;779.00;50.00;0.00;50.00;729.00;0.00;729.00;340.01;116.00;251.21;binary;;binary;39.35;15.56;28.86;0.26;0.23;0.03;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;SIFT;;BF;;336x252;;336x252;305x229;;305x229;1378.45;169.94;1352.51;0.00;0.00;false;1009.74;144.58;903.11;1375.21;171.47;1350.42;575.00;0.00;575.00;899.00;0.00;899.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;float;;float;371.55;35.56;367.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;SURF;;BF;;336x252;;336x252;305x229;;305x229;1187.46;111.66;1189.01;0.00;0.00;false;882.97;87.79;873.34;1185.79;111.63;1186.94;575.00;0.00;575.00;899.00;0.00;899.00;18.00;0.00;18.00;18.00;0.00;18.00;6.00;0.00;6.00;12.00;0.00;12.00;49.14;14.61;39.71;float;;float;281.32;48.67;255.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
