Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
FAST;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;557.44;56.97;550.31;0.76;0.76;true;249.52;35.06;237.10;555.54;57.01;548.41;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;15.50;6.50;16.00;145.50;6.50;145.00;300.45;49.58;289.92;binary;;binary;27.02;7.03;23.53;0.08;0.08;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;BRIEF;;Flann;;336x252;;336x252;305x229;;305x229;529.89;75.61;494.89;0.00;0.00;false;19.13;8.78;15.31;526.88;75.23;493.22;490.00;0.00;490.00;799.00;0.00;799.00;799.00;0.00;799.00;799.00;0.00;799.00;53.50;11.50;54.00;745.50;11.50;745.00;393.31;54.87;372.95;binary;;binary;113.50;20.81;113.93;0.17;0.14;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;BRISK;;Flann;;336x252;;336x252;305x229;;305x229;570.79;122.23;559.06;0.00;0.00;false;18.55;7.67;17.37;569.00;122.15;556.88;528.00;0.00;528.00;865.00;0.00;865.00;865.00;0.00;865.00;865.00;0.00;865.00;22.50;8.50;19.00;842.50;8.50;846.00;440.02;99.94;419.75;binary;;binary;119.49;24.1;116.60;0.13;0.10;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;FREAK;;Flann;;336x252;;336x252;305x229;;305x229;434.68;66.78;428.77;0.00;0.00;false;10.14;4.64;5.89;431.15;65.59;426.11;282.00;0.00;282.00;487.00;0.00;487.00;487.00;0.00;487.00;487.00;0.00;487.00;43.00;13.00;44.00;444.00;13.00;443.00;357.66;58.67;353.69;binary;;binary;74.93;22.87;62.95;0.09;0.06;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;ORB;;Flann;;336x252;;336x252;305x229;;305x229;544.64;155.63;605.26;0.00;0.00;false;134.99;47.7;147.93;542.29;154.80;602.90;481.00;0.00;481.00;779.00;0.00;779.00;779.00;0.00;779.00;779.00;0.00;779.00;45.50;13.50;45.00;733.50;13.50;734.00;328.10;99.02;350.02;binary;;binary;98.31;28.7;71.74;0.09;0.06;0.04;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;SIFT;;Flann;;336x252;;336x252;305x229;;305x229;978.00;298.43;1202.78;0.00;0.00;false;880.03;269.15;1131.11;975.56;297.41;1198.66;575.00;0.00;575.00;899.00;0.00;899.00;2.00;2.00;0.00;2.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;float;;float;99.77;35.26;125.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;SURF;;Flann;;336x252;;336x252;305x229;;305x229;1215.88;281.71;1382.55;0.00;0.00;false;977.95;183.3;799.46;1212.27;279.44;1382.93;575.00;0.00;575.00;899.00;0.00;899.00;24.00;5.00;23.00;24.00;5.00;23.00;6.00;1.00;6.00;18.50;4.50;17.00;151.45;92.59;164.39;float;;float;85.10;24.48;71.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
