Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
FAST;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;76.71;6.59;71.82;1.00;1.00;true;31.89;6.36;25.84;76.44;6.59;71.55;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;44.79;3.12;42.23;binary;;binary;2.53;0.36;2.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;77.73;13.61;70.04;0.00;0.00;false;2.28;0.69;1.64;77.49;13.61;69.80;490.00;0.00;490.00;799.00;0.00;799.00;799.00;0.00;799.00;799.00;0.00;799.00;57.00;0.00;57.00;742.00;0.00;742.00;58.99;11.48;49.08;binary;;binary;18.37;3.89;19.02;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;93.55;5.43;91.74;0.00;0.00;false;3.08;0.47;2.68;93.30;5.43;91.51;528.00;0.00;528.00;865.00;0.00;865.00;865.00;0.00;865.00;865.00;0.00;865.00;18.00;0.00;18.00;847.00;0.00;847.00;51.76;3.78;48.80;binary;;binary;39.40;2.70;40.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;61.28;4.72;59.15;0.00;0.00;false;1.17;0.33;0.87;61.04;4.72;58.91;282.00;0.00;282.00;487.00;0.00;487.00;487.00;0.00;487.00;487.00;0.00;487.00;50.00;0.00;50.00;437.00;0.00;437.00;48.51;3.77;45.44;binary;;binary;11.17;1.71;12.54;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;ORB;;BF;;336x252;;336x252;305x229;;305x229;74.77;9.19;68.70;0.00;0.00;false;2.27;0.35;1.97;74.45;9.13;68.45;481.00;0.00;481.00;779.00;0.00;779.00;779.00;0.00;779.00;779.00;0.00;779.00;50.00;0.00;50.00;729.00;0.00;729.00;55.06;7.70;48.38;binary;;binary;16.20;2.33;18.12;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;SIFT;;BF;;336x252;;336x252;305x229;;305x229;89.23;5.86;88.79;0.00;0.00;false;62.74;3.82;60.08;88.99;5.86;88.54;575.00;0.00;575.00;899.00;0.00;899.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;float;;float;27.29;4.85;28.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;SURF;;BF;;336x252;;336x252;305x229;;305x229;74.84;4.50;74.29;0.00;0.00;false;36.28;1.55;36.44;74.59;4.50;74.04;575.00;0.00;575.00;899.00;0.00;899.00;18.00;0.00;18.00;18.00;0.00;18.00;6.00;0.00;6.00;12.00;0.00;12.00;9.92;1.10;8.99;float;;float;27.58;3.93;28.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
