Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
GFTT;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;74.53;2.84;73.58;1.00;1.00;true;30.02;2.52;27.96;74.26;2.84;73.31;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;43.06;1.50;42.05;binary;;binary;2.21;0.33;2.48;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
GFTT;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;81.85;7.70;77.80;0.00;0.00;false;5.27;1.44;3.91;81.55;7.64;77.56;581.00;0.00;581.00;887.00;0.00;887.00;887.00;0.00;887.00;887.00;0.00;887.00;59.00;0.00;59.00;828.00;0.00;828.00;53.63;5.33;49.02;binary;;binary;22.90;2.17;24.59;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
GFTT;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;110.10;5.80;107.94;0.00;0.00;false;6.42;1.31;5.19;109.86;5.80;107.72;629.00;0.00;629.00;957.00;0.00;957.00;957.00;0.00;957.00;957.00;0.00;957.00;22.00;0.00;22.00;935.00;0.00;935.00;52.91;4.32;49.32;binary;;binary;52.87;2.98;53.06;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
GFTT;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;67.07;4.14;65.85;0.00;0.00;false;3.60;0.67;3.01;66.82;4.14;65.61;337.00;0.00;337.00;541.00;0.00;541.00;541.00;0.00;541.00;541.00;0.00;541.00;44.00;0.00;44.00;497.00;0.00;497.00;48.31;3.05;46.07;binary;;binary;15.74;2.74;16.46;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
GFTT;;ORB;;BF;;336x252;;336x252;305x229;;305x229;78.03;4.05;76.66;0.00;0.00;false;4.88;0.70;4.26;77.79;4.05;76.41;568.00;0.00;568.00;871.00;0.00;871.00;871.00;0.00;871.00;871.00;0.00;871.00;44.00;0.00;44.00;827.00;0.00;827.00;51.17;3.15;48.62;binary;;binary;21.88;2.48;23.31;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
GFTT;;SIFT;;BF;;336x252;;336x252;305x229;;305x229;60.91;7.34;58.29;0.00;0.00;false;22.90;3.99;19.26;60.63;7.33;58.03;705.00;0.00;705.00;996.00;0.00;996.00;2.00;0.00;2.00;2.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;float;;float;38.50;5.55;38.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
GFTT;;SURF;;BF;;336x252;;336x252;305x229;;305x229;117.36;3.88;115.62;0.00;0.00;false;36.01;2.20;36.35;117.11;3.88;115.37;705.00;0.00;705.00;996.00;0.00;996.00;57.00;0.00;57.00;57.00;0.00;57.00;6.00;0.00;6.00;51.00;0.00;51.00;42.72;1.99;41.03;float;;float;38.98;3.83;37.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
