Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
FAST;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;75.06;5.75;71.56;0.84;0.84;true;30.86;5.30;26.21;74.78;5.72;71.30;157.00;0.00;157.00;161.00;0.00;161.00;137.50;12.50;135.00;137.50;12.50;135.00;18.00;9.00;19.00;121.50;18.50;119.00;44.44;3.09;42.25;binary;;binary;3.62;1.69;2.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;BRIEF;;Flann;;336x252;;336x252;305x229;;305x229;63.90;5.33;60.32;0.00;0.00;false;1.97;0.38;1.63;63.66;5.33;60.07;490.00;0.00;490.00;799.00;0.00;799.00;783.50;12.50;788.00;783.50;12.50;788.00;51.50;11.50;53.00;734.50;16.50;735.00;51.25;4.01;48.25;binary;;binary;13.78;4.36;9.54;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;BRISK;;Flann;;336x252;;336x252;305x229;;305x229;66.73;6.95;63.69;0.00;0.00;false;3.03;0.40;2.71;66.48;6.95;63.45;528.00;0.00;528.00;865.00;0.00;865.00;820.50;25.50;826.00;820.50;25.50;826.00;20.50;8.50;17.00;805.50;24.50;808.00;51.02;3.35;50.06;binary;;binary;13.71;4.71;18.41;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;FREAK;;Flann;;336x252;;336x252;305x229;;305x229;66.61;16.17;51.66;0.00;0.00;false;1.16;0.31;0.87;66.31;16.13;51.42;282.00;0.00;282.00;487.00;0.00;487.00;445.00;18.00;446.00;445.00;18.00;446.00;43.50;11.50;44.00;401.50;24.50;403.00;58.07;13.82;45.01;binary;;binary;7.64;2.77;5.14;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;ORB;;Flann;;336x252;;336x252;305x229;;305x229;64.85;6.49;60.18;0.00;0.00;false;2.19;0.26;1.98;64.60;6.49;59.93;481.00;0.00;481.00;779.00;0.00;779.00;757.00;13.00;758.00;757.00;13.00;758.00;42.00;13.00;43.00;717.00;18.00;715.00;51.59;4.67;47.92;binary;;binary;12.63;3.73;9.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;SIFT;;Flann;;336x252;;336x252;305x229;;305x229;77.72;4.68;75.8;0.00;0.00;false;61.73;2.98;60.89;77.47;4.67;75.55;575.00;0.00;575.00;899.00;0.00;899.00;2.50;2.50;0.00;2.50;2.50;0.00;2.50;2.50;0.00;0.00;0.00;0.00;0.04;0.04;0.00;float;;float;17.08;3.06;14.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;SURF;;Flann;;336x252;;336x252;305x229;;305x229;95.36;29.18;79.41;0.00;0.00;false;34.52;2.82;36.41;95.12;29.18;79.16;575.00;0.00;575.00;899.00;0.00;899.00;23.50;5.50;23.00;23.50;5.50;23.00;6.00;1.00;6.00;18.50;5.50;17.00;39.81;25.74;27.67;float;;float;18.84;4.12;15.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
