Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
DENSE;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;73.30;3.47;70.91;1.00;1.00;true;27.53;2.30;25.51;73.04;3.47;70.64;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;44.64;3.09;42.01;binary;;binary;2.47;0.06;2.49;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;148.45;3.61;146.99;0.00;0.00;false;4.37;1.16;3.27;148.20;3.61;146.74;1218.00;0.00;1218.00;1551.00;0.00;1551.00;1551.00;0.00;1551.00;1551.00;0.00;1551.00;48.00;0.00;48.00;1503.00;0.00;1503.00;57.07;2.82;55.17;binary;;binary;87.58;2.55;87.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;315.98;5.03;315.42;0.00;0.00;false;8.72;1.09;7.72;315.74;5.01;315.17;1518.00;0.00;1518.00;1887.00;0.00;1887.00;1887.00;0.00;1887.00;1887.00;0.00;1887.00;28.00;0.00;28.00;1859.00;0.00;1859.00;60.18;2.93;57.93;binary;;binary;248.33;2.86;249.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;73.71;5.30;74.27;0.00;0.00;false;2.06;0.47;1.63;73.46;5.30;74.03;448.00;0.00;448.00;627.00;0.00;627.00;627.00;0.00;627.00;627.00;0.00;627.00;30.00;0.00;30.00;597.00;0.00;597.00;48.81;2.75;46.82;binary;;binary;23.65;4.07;25.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;ORB;;BF;;336x252;;336x252;305x229;;305x229;132.90;12.53;128.43;0.00;0.00;false;3.96;0.44;3.57;132.66;12.53;128.19;1080.00;0.00;1080.00;1395.00;0.00;1395.00;1395.00;0.00;1395.00;1395.00;0.00;1395.00;31.00;0.00;31.00;1364.00;0.00;1364.00;61.80;8.85;53.73;binary;;binary;67.38;4.45;70.95;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;SIFT;;BF;;336x252;;336x252;305x229;;305x229;312.16;14.02;301.76;0.00;0.00;false;9.71;2.23;7.61;311.90;14.02;301.50;1989.00;0.00;1989.00;2352.00;0.00;2352.00;253.00;0.00;253.00;253.00;0.00;253.00;28.00;0.00;28.00;225.00;0.00;225.00;53.13;10.53;43.10;float;;float;259.13;12.55;249.85;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;SURF;;BF;;336x252;;336x252;305x229;;305x229;356.97;12.04;352.06;0.00;0.00;false;84.51;1.78;85.33;356.73;12.04;351.81;1989.00;0.00;1989.00;2352.00;0.00;2352.00;1750.00;0.00;1750.00;1750.00;0.00;1750.00;550.00;0.00;550.00;1200.00;0.00;1200.00;18.53;2.72;16.05;float;;float;254.59;11.38;249.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
