Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
STAR;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;85.12;15.45;72.00;0.91;0.91;true;33.12;7.11;26.72;84.85;15.45;71.73;157.00;0.00;157.00;161.00;0.00;161.00;136.00;12.00;136.00;136.00;12.00;136.00;18.50;9.50;18.00;119.00;15.00;118.00;48.57;7.39;42.72;binary;;binary;3.17;1.24;2.05;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;BRIEF;;Flann;;336x252;;336x252;305x229;;305x229;3.20;1.66;2.34;0.00;0.00;false;1.41;0.52;0.95;2.92;1.59;2.11;24.00;0.00;24.00;22.00;0.00;22.00;6.00;4.00;6.00;6.00;4.00;6.00;3.00;3.00;4.00;2.50;2.50;2.00;1.41;1.41;0.61;binary;;binary;1.22;0.81;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;BRISK;;Flann;;336x252;;336x252;305x229;;305x229;6.18;4.45;3.55;0.00;0.00;false;2.22;1.29;0.99;5.94;4.46;3.31;24.00;0.00;24.00;22.00;0.00;22.00;10.00;5.00;5.00;10.00;5.00;5.00;5.50;1.50;5.00;5.00;5.00;4.00;4.47;4.40;1.73;binary;;binary;1.26;0.83;0.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;FREAK;;Flann;;336x252;;336x252;305x229;;305x229;4.33;2.76;2.71;0.00;0.00;false;1.27;0.40;0.91;4.08;2.75;2.47;24.00;0.00;24.00;22.00;0.00;22.00;8.00;5.00;7.00;8.00;5.00;7.00;3.00;3.00;5.00;4.00;4.00;3.00;2.63;2.63;0.96;binary;;binary;1.16;0.73;0.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;ORB;;Flann;;336x252;;336x252;305x229;;305x229;3.25;1.45;2.17;0.00;0.00;false;1.46;0.41;1.11;3.01;1.46;1.93;24.00;0.00;24.00;22.00;0.00;22.00;4.50;4.50;5.00;4.50;4.50;5.00;3.00;3.00;4.00;2.50;2.50;1.00;1.41;1.41;0.29;binary;;binary;1.17;0.72;0.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;SIFT;;Flann;;336x252;;336x252;305x229;;305x229;9.53;1.4;8.42;0.00;0.00;false;8.74;1.29;7.75;9.28;1.4;8.16;24.00;0.00;24.00;22.00;0.00;22.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;float;;float;0.49;0.12;0.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;SURF;;Flann;;336x252;;336x252;305x229;;305x229;4.07;0.75;3.69;0.00;0.00;false;3.26;0.66;2.94;3.77;0.68;3.45;24.00;0.00;24.00;22.00;0.00;22.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;float;;float;0.63;0.23;0.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
