Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
ORB;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;80.30;9.24;73.54;0.87;0.87;true;31.67;4.44;27.82;80.02;9.24;73.25;157.00;0.00;157.00;161.00;0.00;161.00;134.50;10.50;136.00;134.50;10.50;136.00;18.50;9.50;18.00;116.00;16.00;118.00;46.07;4.90;42.77;binary;;binary;3.97;1.99;2.08;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
ORB;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;60.74;4.44;58.54;0.00;0.00;false;3.52;0.52;3.06;60.47;4.42;58.29;430.00;0.00;430.00;463.00;0.00;463.00;463.00;0.00;463.00;463.00;0.00;463.00;33.00;0.00;33.00;430.00;0.00;430.00;48.22;3.91;45.46;binary;;binary;8.82;1.38;9.78;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
ORB;;BRIEF;;Flann;;336x252;;336x252;305x229;;305x229;60.09;7.06;54.84;0.00;0.00;false;4.07;1.09;3.06;59.84;7.05;54.59;430.00;0.00;430.00;463.00;0.00;463.00;445.50;13.50;451.00;445.50;13.50;451.00;27.00;6.00;28.00;419.00;15.00;422.00;48.91;4.74;45.29;binary;;binary;8.53;3.22;5.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
ORB;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;60.12;10.50;51.18;1.00;1.00;true;3.63;0.78;2.97;59.84;10.50;50.89;203.00;0.00;203.00;272.00;0.00;272.00;272.00;0.00;272.00;272.00;0.00;272.00;31.00;0.00;31.00;241.00;0.00;241.00;52.33;9.93;43.31;binary;;binary;4.92;1.57;4.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
ORB;;BRISK;;Flann;;336x252;;336x252;305x229;;305x229;60.92;12.32;50.35;0.61;0.61;true;3.79;0.89;2.97;60.60;12.27;50.11;203.00;0.00;203.00;272.00;0.00;272.00;242.50;15.50;241.00;242.50;15.50;241.00;24.50;9.50;21.00;219.50;19.50;220.00;51.58;9.31;43.67;binary;;binary;5.32;2.39;3.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
ORB;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;57.16;2.80;57.08;0.00;0.00;false;3.23;0.87;2.44;56.91;2.81;56.77;281.00;0.00;281.00;379.00;0.00;379.00;379.00;0.00;379.00;379.00;0.00;379.00;35.00;0.00;35.00;344.00;0.00;344.00;45.49;1.8;44.37;binary;;binary;8.9;1.49;9.76;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
ORB;;FREAK;;Flann;;336x252;;336x252;305x229;;305x229;57.55;7.36;51.97;0.00;0.00;false;3.19;0.82;2.44;57.24;7.30;51.71;281.00;0.00;281.00;379.00;0.00;379.00;339.00;29.00;340.00;339.00;29.00;340.00;37.50;14.50;36.00;302.00;23.00;303.00;48.20;4.82;44.92;binary;;binary;6.80;2.88;4.31;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
ORB;;ORB;;BF;;336x252;;336x252;305x229;;305x229;61.31;4.11;59.56;1.00;1.00;true;4.94;0.73;4.27;61.04;4.11;59.30;430.00;0.00;430.00;463.00;0.00;463.00;463.00;0.00;463.00;463.00;0.00;463.00;53.00;0.00;53.00;410.00;0.00;410.00;47.66;3.37;45.13;binary;;binary;8.81;1.34;9.79;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
ORB;;ORB;;Flann;;336x252;;336x252;305x229;;305x229;59.76;5.39;55.47;0.90;0.90;true;5.17;0.97;4.27;59.50;5.39;55.20;430.00;0.00;430.00;463.00;0.00;463.00;438.00;16.00;438.00;438.00;16.00;438.00;53.50;32.50;47.00;394.00;36.00;392.00;49.57;5.48;44.87;binary;;binary;7.31;1.85;5.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
ORB;;SIFT;;BF;;336x252;;336x252;305x229;;305x229;257.30;9.05;251.61;0.00;0.00;false;236.82;8.77;230.97;257.05;9.04;251.35;430.00;0.00;430.00;463.00;0.00;463.00;31.00;0.00;31.00;31.00;0.00;31.00;11.00;0.00;11.00;20.00;0.00;20.00;10.69;1.78;8.98;float;;float;10.82;1.57;10.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
