Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
SURF;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;101.44;13.11;92.49;0.84;0.84;true;51.43;7.11;47.64;101.14;13.1;92.17;157.00;0.00;157.00;161.00;0.00;161.00;136.00;11.00;136.00;136.00;11.00;136.00;18.00;9.00;19.00;119.00;15.00;117.00;47.81;6.63;42.23;binary;;binary;4.31;2.31;2.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;BRIEF;;Flann;;336x252;;336x252;305x229;;305x229;63.80;8.84;67.38;0.00;0.00;false;22.67;2.29;22.49;63.55;8.85;67.11;151.00;0.00;151.00;197.00;0.00;197.00;174.50;10.50;176.00;174.50;10.50;176.00;35.00;7.00;38.00;138.50;10.50;138.00;39.68;7.60;42.23;binary;;binary;3.54;1.43;2.25;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;BRISK;;Flann;;336x252;;336x252;305x229;;305x229;75.30;10.14;68.53;0.47;0.47;false;23.11;3.24;22.67;75.03;10.14;68.26;130.00;0.00;130.00;159.00;0.00;159.00;128.50;13.50;128.00;128.50;13.50;128.00;15.50;4.50;13.00;115.50;13.50;114.00;50.82;9.48;42.94;binary;;binary;3.02;1.13;2.16;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;FREAK;;Flann;;336x252;;336x252;305x229;;305x229;55.05;15.67;62.99;0.00;0.00;false;27.37;8.26;22.21;54.79;15.65;62.76;75.00;0.00;75.00;96.00;0.00;96.00;65.00;12.00;64.00;65.00;12.00;64.00;14.50;5.50;15.00;50.50;12.50;50.00;31.48;15.39;39.34;binary;;binary;2.38;1.26;1.18;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;ORB;;Flann;;336x252;;336x252;305x229;;305x229;69.85;5.15;68.16;0.02;0.02;false;23.12;2.49;23.27;69.60;5.14;67.89;149.00;0.00;149.00;189.00;0.00;189.00;144.00;12.00;143.00;144.00;12.00;143.00;11.50;3.50;12.00;131.00;11.00;131.00;44.48;3.16;41.96;binary;;binary;2.58;0.51;2.32;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;SIFT;;Flann;;336x252;;336x252;305x229;;305x229;137.16;16.18;127.37;1.00;1.00;true;126.17;15.97;114.88;136.81;16.10;127.11;166.00;0.00;166.00;213.00;0.00;213.00;48.00;5.00;46.00;48.00;5.00;46.00;17.00;3.00;16.00;30.50;5.50;30.00;10.82;7.09;5.87;float;;float;4.22;0.81;3.53;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;SURF;;Flann;;336x252;;336x252;305x229;;305x229;63.92;3.02;63.61;0.44;0.44;false;58.81;3.11;58.76;63.67;3.03;63.33;166.00;0.00;166.00;213.00;0.00;213.00;15.50;2.50;15.00;15.50;2.50;15.00;11.00;2.00;9.00;4.50;1.50;5.00;1.00;0.42;0.88;float;;float;4.07;0.52;3.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
