Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
SURF;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;101.39;12.74;93.56;1.00;1.00;true;53.14;8.72;47.66;101.04;12.67;93.27;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;46.00;4.44;43.03;binary;;binary;2.98;1.55;2.49;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;68.80;3.88;67.62;0.00;0.00;false;23.51;4.28;22.54;68.55;3.87;67.37;151.00;0.00;151.00;197.00;0.00;197.00;197.00;0.00;197.00;197.00;0.00;197.00;40.00;0.00;40.00;157.00;0.00;157.00;44.45;2.21;42.99;binary;;binary;2.24;0.72;1.71;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;69.65;5.46;67.78;0.00;0.00;false;22.47;2.73;22.69;69.40;5.46;67.52;130.00;0.00;130.00;159.00;0.00;159.00;159.00;0.00;159.00;159.00;0.00;159.00;11.00;0.00;11.00;148.00;0.00;148.00;45.10;3.27;42.53;binary;;binary;2.14;0.54;2.11;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;67.16;4.85;65.64;0.00;0.00;false;21.72;2.32;22.15;66.92;4.86;65.40;75.00;0.00;75.00;96.00;0.00;96.00;96.00;0.00;96.00;96.00;0.00;96.00;18.00;0.00;18.00;78.00;0.00;78.00;44.57;3.11;42.29;binary;;binary;0.71;0.33;0.88;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;ORB;;BF;;336x252;;336x252;305x229;;305x229;70.06;5.05;68.31;0.00;0.00;false;23.36;2.20;23.35;69.81;5.05;68.06;149.00;0.00;149.00;189.00;0.00;189.00;189.00;0.00;189.00;189.00;0.00;189.00;13.00;0.00;13.00;176.00;0.00;176.00;45.42;3.56;43.10;binary;;binary;1.76;0.55;1.65;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;SIFT;;BF;;336x252;;336x252;305x229;;305x229;123.3;4.25;121.17;1.00;1.00;true;116.57;4.20;114.31;123.03;4.25;120.89;166.00;0.00;166.00;213.00;0.00;213.00;44.00;0.00;44.00;44.00;0.00;44.00;18.00;0.00;18.00;26.00;0.00;26.00;4.86;0.75;4.19;float;;float;2.52;0.77;2.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;SURF;;BF;;336x252;;336x252;305x229;;305x229;61.90;3.47;62.17;0.00;0.00;false;58.48;3.39;58.67;61.67;3.48;61.94;166.00;0.00;166.00;213.00;0.00;213.00;14.00;0.00;14.00;14.00;0.00;14.00;9.00;0.00;9.00;5.00;0.00;5.00;1.28;0.40;0.95;float;;float;2.55;0.85;2.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
