Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
DENSE;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;893.18;278.55;623.55;0.72;0.72;true;422.57;136.64;306.55;889.32;277.04;621.16;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;15.00;6.00;17.00;146.00;6.00;144.00;455.35;157.49;307.22;binary;;binary;40.81;15.39;27.06;0.03;0.03;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;BRIEF;;Flann;;336x252;;336x252;305x229;;305x229;1276.07;384.09;913.57;0.00;0.00;false;33.96;9.98;25.05;1273.21;383.4;911.46;1218.00;0.00;1218.00;1551.00;0.00;1551.00;1551.00;0.00;1551.00;1551.00;0.00;1551.00;46.50;2.50;47.00;1504.50;2.50;1504.00;739.65;219.75;529.86;binary;;binary;513.04;172.85;367.20;0.03;0.02;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;BRISK;;Flann;;336x252;;336x252;305x229;;305x229;1452.47;422.31;1160.66;0.00;0.00;false;78.06;33.11;47.25;1449.61;421.53;1158.43;1518.00;0.00;1518.00;1887.00;0.00;1887.00;1887.00;0.00;1887.00;1887.00;0.00;1887.00;25.50;5.50;26.00;1861.50;5.50;1861.00;855.66;279.87;578.99;binary;;binary;583.65;183.00;491.34;0.05;0.04;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;FREAK;;Flann;;336x252;;336x252;305x229;;305x229;808.65;313.79;529.18;0.00;0.00;false;26.84;15.05;12.91;805.56;312.77;527.07;448.00;0.00;448.00;627.00;0.00;627.00;627.00;0.00;627.00;627.00;0.00;627.00;27.50;5.50;29.00;599.50;5.50;598.00;635.35;267.66;393.57;binary;;binary;194.37;85.81;130.34;0.04;0.03;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;ORB;;Flann;;336x252;;336x252;305x229;;305x229;1311.93;393.50;929.86;0.00;0.00;false;135.20;52.77;82.65;1309.11;392.73;927.75;1080.00;0.00;1080.00;1395.00;0.00;1395.00;1395.00;0.00;1395.00;1395.00;0.00;1395.00;29.50;2.50;31.00;1365.50;2.50;1364.00;745.02;251.78;512.77;binary;;binary;476.68;145.23;372.96;0.04;0.03;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;SIFT;;Flann;;336x252;;336x252;305x229;;305x229;1301.29;482.57;825.30;0.01;0.01;false;330.58;224.90;114.53;1299.92;483.86;822.76;1989.00;0.00;1989.00;2352.00;0.00;2352.00;288.00;17.00;284.00;288.00;17.00;284.00;31.50;3.50;30.00;258.50;17.50;254.00;420.93;201.69;344.08;float;;float;573.76;183.81;418.24;0.02;0.02;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
DENSE;;SURF;;Flann;;336x252;;336x252;305x229;;305x229;1555.7;780.45;791.91;0.00;0.00;false;498.69;218.73;303.23;1552.37;779.59;789.24;1989.00;0.00;1989.00;2352.00;0.00;2352.00;1751.50;5.50;1751.00;1751.50;5.50;1751.00;478.00;72.00;521.00;1271.00;71.00;1230.00;595.78;438.6;283.75;float;;float;479.65;162.65;340.97;0.03;0.02;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
