Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
SURF;;AKAZE;;Flann;;336x252;;336x252;305x229;;305x229;974.09;309.59;678.10;0.66;0.66;true;506.75;179.14;363.98;971.03;308.80;674.84;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;15.00;6.00;17.00;146.00;6.00;145.00;446.46;149.06;304.32;binary;;binary;37.19;11.71;26.88;0.02;0.02;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;BRIEF;;Flann;;336x252;;336x252;305x229;;305x229;613.44;222.30;412.96;0.00;0.00;false;112.84;62.32;57.17;610.64;221.54;410.64;151.00;0.00;151.00;197.00;0.00;197.00;197.00;0.00;197.00;197.00;0.00;197.00;36.00;8.00;38.00;161.00;8.00;159.00;458.35;154.17;309.90;binary;;binary;46.53;17.23;39.42;0.13;0.12;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;BRISK;;Flann;;336x252;;336x252;305x229;;305x229;594.39;206.14;426.71;0.12;0.12;false;98.43;48.03;59.10;591.22;205.62;424.65;130.00;0.00;130.00;159.00;0.00;159.00;159.00;0.00;159.00;159.00;0.00;159.00;19.00;8.00;15.00;140.00;8.00;144.00;468.87;170.38;329.51;binary;;binary;44.64;18.82;36.72;0.04;0.03;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;FREAK;;Flann;;336x252;;336x252;305x229;;305x229;461.45;255.85;409.55;0.00;0.00;false;87.41;38.89;62.03;458.52;255.26;407.19;75.00;0.00;75.00;96.00;0.00;96.00;96.00;0.00;96.00;96.00;0.00;96.00;21.50;7.50;20.00;74.50;7.50;76.00;349.76;241.38;323.59;binary;;binary;28.23;13.91;23.10;0.04;0.03;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;ORB;;Flann;;336x252;;336x252;305x229;;305x229;619.83;204.23;458.66;0.00;0.00;false;135.71;63.57;74.35;616.87;203.37;456.58;149.00;0.00;149.00;189.00;0.00;189.00;189.00;0.00;189.00;189.00;0.00;189.00;23.50;10.50;23.00;165.50;10.50;166.00;448.29;146.41;330.25;binary;;binary;53.04;23.18;41.55;0.04;0.03;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;SIFT;;Flann;;336x252;;336x252;305x229;;305x229;1734.83;559.12;1253.54;1.00;1.00;true;1631.65;525.39;1154.97;1731.82;558.31;1251.15;166.00;0.00;166.00;213.00;0.00;213.00;47.50;4.50;47.00;47.50;4.50;47.00;16.50;2.50;16.00;30.50;4.50;30.00;96.59;68.33;57.82;float;;float;46.96;19.75;28.59;0.03;0.02;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
SURF;;SURF;;Flann;;336x252;;336x252;305x229;;305x229;186.16;35.06;164.74;0.49;0.49;false;148.89;33.10;127.10;183.97;35.11;162.39;166.00;0.00;166.00;213.00;0.00;213.00;14.50;1.50;15.00;14.50;1.50;15.00;10.50;1.50;9.00;5.00;2.00;5.00;6.28;2.90;5.66;float;;float;34.25;7.14;29.14;0.02;0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
