Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
FAST;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;873.03;287.29;602.42;1.00;1.00;true;416.93;135.16;303.09;869.93;286.54;600.15;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;448.28;150.07;303.31;binary;;binary;5.18;3.71;2.57;0.03;0.02;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;635.88;210.06;460.31;0.00;0.00;false;25.80;12.17;14.54;633.06;209.37;458.19;490.00;0.00;490.00;799.00;0.00;799.00;799.00;0.00;799.00;799.00;0.00;799.00;57.00;0.00;57.00;742.00;0.00;742.00;594.95;198.22;426.04;binary;;binary;28.27;16.24;15.23;0.03;0.02;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;688.60;235.95;476.26;0.00;0.00;false;29.53;13.90;16.39;685.67;235.14;473.87;528.00;0.00;528.00;865.00;0.00;865.00;865.00;0.00;865.00;865.00;0.00;865.00;18.00;0.00;18.00;847.00;0.00;847.00;621.10;212.97;429.69;binary;;binary;53.60;27.93;33.31;0.03;0.02;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;533.93;166.32;376.49;0.00;0.00;false;12.68;3.96;9.02;531.15;165.58;374.34;282.00;0.00;282.00;487.00;0.00;487.00;487.00;0.00;487.00;487.00;0.00;487.00;50.00;0.00;50.00;437.00;0.00;437.00;506.73;158.50;354.63;binary;;binary;16.93;9.22;7.79;0.05;0.04;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;ORB;;BF;;336x252;;336x252;305x229;;305x229;483.2;33.54;460.62;0.00;0.00;false;52.28;10.56;42.46;481.11;33.56;458.31;481.00;0.00;481.00;779.00;0.00;779.00;779.00;0.00;779.00;779.00;0.00;779.00;50.00;0.00;50.00;729.00;0.00;729.00;422.80;29.52;400.75;binary;;binary;16.67;5.21;12.46;0.14;0.13;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;SIFT;;BF;;336x252;;336x252;305x229;;305x229;1146.11;388.61;775.71;0.00;0.00;false;906.91;291.24;625.54;1143.11;387.73;773.32;575.00;0.00;575.00;899.00;0.00;899.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;float;;float;248.42;110.03;145.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
FAST;;SURF;;BF;;336x252;;336x252;305x229;;305x229;534.60;219.74;327.21;0.00;0.00;false;195.23;87.05;114.41;531.67;218.91;324.88;575.00;0.00;575.00;899.00;0.00;899.00;18.00;0.00;18.00;18.00;0.00;18.00;6.00;0.00;6.00;12.00;0.00;12.00;93.4;32.52;61.56;float;;float;247.8;109.41;142.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
