Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
BRISK;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;908.72;294.18;622.02;1.00;1.00;true;461.10;154.44;322.11;904.67;292.4;619.66;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;453.17;154.87;307.49;binary;;binary;4.10;2.64;2.38;0.04;0.03;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
BRISK;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;359.05;28.27;333.61;0.00;0.00;false;30.15;4.79;25.96;356.93;28.19;331.48;137.00;0.00;137.00;181.00;0.00;181.00;181.00;0.00;181.00;181.00;0.00;181.00;20.00;0.00;20.00;161.00;0.00;161.00;326.23;24.41;303.92;binary;;binary;4.33;3.35;1.33;1.42;1.41;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
BRISK;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;502.96;167.71;390.69;0.00;0.00;false;41.68;15.19;33.28;499.94;167.05;388.42;138.00;0.00;138.00;193.00;0.00;193.00;193.00;0.00;193.00;193.00;0.00;193.00;10.00;0.00;10.00;183.00;0.00;183.00;459.99;155.94;358.33;binary;;binary;4.25;2.66;2.91;0.04;0.03;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
BRISK;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;492.20;170.09;374.29;0.00;0.00;false;39.11;15.40;30.72;488.72;168.73;372.13;78.00;0.00;78.00;125.00;0.00;125.00;125.00;0.00;125.00;125.00;0.00;125.00;17.00;0.00;17.00;108.00;0.00;108.00;450.57;156.42;343.07;binary;;binary;1.90;1.19;1.24;0.02;0.01;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
BRISK;;ORB;;BF;;336x252;;336x252;305x229;;305x229;522.38;172.27;384.17;0.00;0.00;false;68.70;23.25;50.05;519.42;171.50;381.34;136.00;0.00;136.00;177.00;0.00;177.00;177.00;0.00;177.00;177.00;0.00;177.00;12.00;0.00;12.00;165.00;0.00;165.00;450.79;149.71;331.23;binary;;binary;2.59;1.65;1.70;0.04;0.03;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
BRISK;;SIFT;;BF;;336x252;;336x252;305x229;;305x229;950.25;297.81;656.22;0.00;0.00;false;916.09;288.93;633.12;947.27;297.04;654.11;138.00;0.00;138.00;193.00;0.00;193.00;10.00;0.00;10.00;10.00;0.00;10.00;6.00;0.00;6.00;4.00;0.00;4.00;21.06;8.92;12.91;float;;float;13.60;7.05;18.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
BRISK;;SURF;;BF;;336x252;;336x252;305x229;;305x229;108.90;30.47;81.24;0.00;0.00;false;79.96;23.18;59.40;106.76;30.45;79.48;138.00;0.00;138.00;193.00;0.00;193.00;8.00;0.00;8.00;8.00;0.00;8.00;4.00;0.00;4.00;4.00;0.00;4.00;20.63;8.11;12.92;float;;float;14.37;7.95;7.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
