Detector;Detector-error;Extractor;Extractor-error;Matcher;Matcher-error;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median;
STAR;;AKAZE;;BF;;336x252;;336x252;305x229;;305x229;866.45;258.98;612.16;1.00;1.00;true;424.58;131.01;314.67;863.43;258.14;609.88;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;449.5;151.11;307.46;binary;;binary;8;6.53;2.67;1.86;1.85;0.02;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;BRIEF;;BF;;336x252;;336x252;305x229;;305x229;181.72;29.56;154.12;0.00;0.00;false;21.34;7.19;15.83;179.07;28.99;151.90;24.00;0.00;24.00;22.00;0.00;22.00;22.00;0.00;22.00;22.00;0.00;22.00;6.00;0.00;6.00;16.00;0.00;16.00;156.77;22.40;135.58;binary;;binary;1.27;1.08;0.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;BRISK;;BF;;336x252;;336x252;305x229;;305x229;99.3;23.32;79.18;0.00;0.00;false;35.76;12.24;25.40;95.78;23.22;75.61;24.00;0.00;24.00;22.00;0.00;22.00;22.00;0.00;22.00;22.00;0.00;22.00;9.00;0.00;9.00;13.00;0.00;13.00;59.32;10.87;49.64;binary;;binary;1.20;0.94;0.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;FREAK;;BF;;336x252;;336x252;305x229;;305x229;239.71;86.68;266.13;0.00;0.00;false;25.53;10.88;24.25;236.85;86.05;262.55;24.00;0.00;24.00;22.00;0.00;22.00;22.00;0.00;22.00;22.00;0.00;22.00;6.00;0.00;6.00;16.00;0.00;16.00;210.64;75.09;237.43;binary;;binary;0.82;0.62;0.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;ORB;;BF;;336x252;;336x252;305x229;;305x229;99.19;3.99;96.55;0.00;0.00;false;20.40;1.29;20.55;97.16;3.96;94.50;24.00;0.00;24.00;22.00;0.00;22.00;22.00;0.00;22.00;22.00;0.00;22.00;7.00;0.00;7.00;15.00;0.00;15.00;76.77;3.38;73.54;binary;;binary;0.38;0.20;0.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;SIFT;;BF;;336x252;;336x252;305x229;;305x229;126.12;18.31;115.71;0.00;0.00;false;122.57;17.14;113.17;123.09;17.29;113.57;24.00;0.00;24.00;22.00;0.00;22.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;float;;float;1.11;0.82;0.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
STAR;;SURF;;BF;;336x252;;336x252;305x229;;305x229;42.58;21.58;23.11;0.00;0.00;false;39.26;20.58;20.66;40.10;21.07;21.02;24.00;0.00;24.00;22.00;0.00;22.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;float;;float;1.02;0.83;0.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00;
